"","x"
"1","      Carbon tax doesn t help    It just nationalizes fossil fuel   hydrocarbons    Y   "
"2","   The official said the decision removes two batteries that were guarding oil facilities in Saudi Arabia but leaves two "
"3","   The official said the decision removes two batteries that were guarding oil facilities in Saudi Arabia but leaves two "
"4","US withdrawing its patriots anti  missile air defense system from Saudi Arabia   Now Saudis will come to the table   "
"5","   BREAKING  Pompeo annouces patriot battery withdrawal from Saudi Arabia  says  The withdrawal of the air defences from Saud "
"6","   BREAKING  Pompeo annouces patriot battery withdrawal from Saudi Arabia  says  The withdrawal of the air defences from Saud "
"7","   BREAKING  Pompeo annouces patriot battery withdrawal from Saudi Arabia  says  The withdrawal of the air defences from Saud "
"8","   Once i asked please bring me tea and then i got nothing except to wait  until i get home made chai  Air Arabia is too exp "
"9","   BREAKING  Pompeo annouces patriot battery withdrawal from Saudi Arabia  says  The withdrawal of the air defences from Saud "
"10","BREAKING  Pompeo annouces patriot battery withdrawal from Saudi Arabia  says  The withdrawal of the air defences fr   "
"11","Once i asked please bring me tea and then i got nothing except to wait  until i get home made chai  Air Arabia is t   "
"12","  If you vote Biden   Supported  Saudi Arabia s genocidal war in Yemen    Left Libya in rui "
"13","Reminds me of our Umrah trip  The airline was Air Arabia and they charged for water even   "
"14","   WSJ US withdraws Patriot air defense missile systems from Saudi Arabia The U S  withdraws Patriot air defense missiles fr "
"15","   WSJ US withdraws Patriot air defense missile systems from Saudi Arabia The U S  withdraws Patriot air defense missiles fr "
"16","   Flight Attendant   UAE  avgeek    "
"17","   Flight Attendant   UAE  avgeek    "
"18","Flight Attendant   UAE  avgeek    "
"19","   WSJ US withdraws Patriot air defense missile systems from Saudi Arabia The U S  withdraws Patriot air defense missiles fr "
"20","Oh ya the patriot missile system sucks  Drone swarms like Iran did on Saudi Arabia  If we can get some drones to sh   "
"21","   Another child was killed by  Saudi arabia air strikes in Serwah Mareb region   Yemen  YemenCantWait  "
"22","    Trump reportedly set to pull air defence Patriot missiles and US troops out of  SaudiArabia   Withdrawal or blackmail  "
"23","US to remove Patriots  other military assets from Saudi Arabia   WSJ  four batteries of Patriot surface to air miss   "
"24","                And you think it   "
"25","   The official said the decision removes two batteries that were guarding oil facilities in Saudi Arabia but leaves two "
"26","About to go live on Press TV in Tehran reacting to the United States pulling our military equipment from Saudi Arab   "
"27","  Good Job   however if only Air India  amp  IX operated for repatriation it will take 6 8 months to send 20000   "
"28","ON AIR  SAM ARTHUR   Adding value to lives daily  Talk to us on 0208 90 2121 HELLO  CO UK   "
"29","  Good Job   however if only Air India  amp  IX operated for repatriation it will take 6 8 months to send 20000   "
"30","   Indian National evacuees stranded in Saudi Arabia  Kuwait  UAE  Bahrain  amp  Malaysia will be housed in the quarantine facilities mai "
"31"," A320 Type Rated Captains   UAE  avgeek    "
"32","   Air Arabia  a Sharjah based low cost airline  opens regular passenger flight bookings on its online reservation portal with "
"33","   The official said the decision removes two batteries that were guarding oil facilities in Saudi Arabia but leaves two "
"34","   JARED KUSHNER AKA  Kid Corona  Damien s Omen  Wax Boy  Bonesaw Buddy  666 Suck Up   Vanilla Isis  Aide de Kampf  The Fresh Prin "
"35","   WSJ US withdraws Patriot air defense missile systems from Saudi Arabia The U S  withdraws Patriot air defense missiles fr "
